eventid,driverid,speed,lat,lon,eventdate,eventtime
1,2,56,-6.808273,110.846846,7/4/2019,6:03 AM
2,58,77,9.3420526,123.2904615,9/28/2019,12:23 AM
3,205,69,33.425934,66.5344159,12/15/2019,5:48 AM
4,198,58,-29.2231867,-51.3423619,11/22/2019,7:39 AM
5,82,32,1.5484759,103.7983752,9/11/2019,2:26 PM
6,201,4,-7.4652278,-37.7662816,2/1/2019,5:15 AM
7,209,52,34.513586,108.317445,5/15/2019,5:27 AM
8,126,17,-3.2244045,-39.7755571,12/23/2019,2:03 AM
9,51,25,39.4242713,-8.6985716,4/26/2019,3:23 AM
10,8,33,30.877555,119.420935,12/3/2019,7:45 PM
11,299,77,-6.3384977,106.1610343,3/30/2019,12:26 PM
12,254,17,24.77848,110.496593,12/26/2019,8:48 AM
13,200,51,17.9179214,-76.579165,4/25/2019,1:51 PM
14,168,30,59.3927955,18.0310718,1/21/2019,10:05 AM
15,285,10,50.1999745,16.2326331,8/31/2019,1:49 PM
16,11,56,57.7197857,12.933356,3/26/2019,7:53 PM
17,30,74,-2.321899,110.5930548,7/19/2019,12:53 AM
18,282,32,13.9013242,-87.1996084,10/11/2019,7:48 AM
19,297,70,19.701143,110.242109,9/2/2019,6:01 PM
20,135,18,27.754532,112.723615,3/23/2019,12:29 AM
21,190,2,-6.8073,111.8104,6/23/2019,6:45 AM
22,105,13,18.0461423,100.9128995,2/3/2019,7:54 PM
23,220,29,-9.824074,-77.726913,11/25/2019,12:07 AM
24,292,3,60.869764,60.437305,5/30/2019,7:54 AM
25,239,51,2.1514272,11.3317605,11/17/2019,1:59 PM
26,127,34,13.4522814,101.1815568,3/6/2019,2:30 PM
27,217,32,11.3410027,-14.935965,8/12/2019,12:27 PM
28,135,15,9.9497452,126.0068121,6/21/2019,2:11 AM
29,31,68,25.0617484,68.6593883,4/3/2019,3:41 AM
30,144,21,27.1291264,-104.9126044,8/19/2019,3:59 AM
31,236,53,37.612712,113.707184,2/21/2019,1:20 PM
32,50,42,49.9248455,116.8425182,1/25/2019,3:13 AM
33,299,79,60.601518,16.7485695,3/9/2019,10:17 AM
34,219,18,-34.66144,-58.5657324,5/18/2019,10:30 AM
35,107,1,50.0884409,14.5888523,9/27/2019,12:37 PM
36,67,3,50.4065746,14.044039,12/20/2019,3:25 PM
37,4,59,23.2033136,116.371665,7/8/2019,5:55 AM
38,14,39,29.454189,119.996847,12/2/2019,8:44 AM
39,78,4,-16.6491362,-71.0248775,11/1/2019,3:47 PM
40,34,63,4.168711,-76.167375,10/30/2019,9:55 PM
41,142,12,28.39571,107.752611,1/17/2019,3:27 AM
42,75,7,7.75,-61,5/15/2019,10:23 PM
43,171,10,48.8383589,2.6618245,3/12/2019,4:02 PM
44,286,51,-2.7201714,115.2719048,3/21/2019,2:23 AM
45,61,80,48.2216224,135.0579895,3/30/2019,5:40 PM
46,284,55,43.3362822,3.2188961,12/12/2019,3:44 AM
47,223,1,34.144801,-118.2563169,12/25/2019,3:06 AM
48,207,65,31.261447,35.214862,9/12/2019,5:11 AM
49,109,61,-4.6138241,-44.9833395,5/27/2019,9:01 AM
50,168,75,57.1355803,103.9325393,2/10/2019,8:51 PM
51,79,70,41.068909,122.949298,10/2/2019,4:23 AM
52,282,62,53.0222045,-112.8285983,1/9/2020,6:21 AM
53,131,34,14.4066158,120.942358,12/31/2019,10:34 AM
54,218,16,37.955893,23.7020975,1/23/2019,4:16 AM
55,222,75,41.4230192,20.2030313,3/12/2019,10:39 AM
56,183,75,13.9300945,120.9522977,1/31/2019,4:19 AM
57,86,15,45.1810363,19.9442694,11/29/2019,4:54 AM
58,86,18,42.8434544,45.632656,5/17/2019,12:09 PM
59,66,26,53.3326454,-1.4631269,4/12/2019,2:43 PM
60,63,23,35.7642515,10.8112885,5/20/2019,11:08 AM
61,296,71,38.4438949,70.8023327,1/19/2019,5:39 PM
62,52,69,52.8807868,20.6745586,2/5/2019,3:11 AM
63,119,22,59.9388564,30.3598522,1/3/2020,10:02 PM
64,27,12,-6.3323352,105.8671954,9/27/2019,9:47 PM
65,31,21,11.5013799,125.5025812,7/31/2019,3:24 PM
66,272,77,-8.4335,115.5012,1/9/2020,5:12 AM
67,62,20,42.057517,24.5479535,4/10/2019,3:11 AM
68,182,69,29.00091,120.568856,11/23/2019,6:53 AM
69,52,26,-40.2458577,175.5482901,3/20/2019,8:38 PM
70,206,34,17.0935616,101.6612934,2/15/2019,9:41 AM
71,105,50,7.9523119,-80.4382153,12/31/2019,11:12 AM
72,92,48,13.7172042,-89.7473837,8/1/2019,12:55 PM
73,144,50,40.2166885,141.3014573,11/19/2019,4:38 PM
74,259,34,-24.6258027,30.7565467,11/18/2019,8:27 PM
75,4,76,40.076762,113.300129,4/28/2019,1:47 PM
76,66,57,-34.4753246,-58.586937,5/26/2019,7:48 AM
77,27,44,5.3523231,100.3573891,11/13/2019,2:01 AM
78,148,46,54.2714024,18.4710402,10/3/2019,12:49 AM
79,84,36,37.377139,97.369751,7/4/2019,9:12 PM
80,76,39,10.4347941,45.0139904,4/21/2019,12:00 PM
81,205,42,27.2753739,91.2397775,1/6/2020,2:17 PM
82,286,58,55.3700696,39.0644305,11/21/2019,5:55 AM
83,24,29,-5.5944574,-78.7841007,3/21/2019,11:47 PM
84,195,38,31.7394146,-106.4177672,2/5/2019,2:05 PM
85,25,21,41.226934,-8.3815652,7/5/2019,7:40 AM
86,204,28,42.6997116,23.2730306,7/30/2019,8:23 AM
87,90,34,46.2952236,30.6480855,5/5/2019,11:15 PM
88,120,9,53.6923042,38.1938089,2/2/2019,5:54 PM
89,223,23,23.404165,113.220218,10/14/2019,12:39 AM
90,229,18,20.9455701,-101.4423451,8/10/2019,1:34 AM
91,179,17,39.76624,44.8087498,12/1/2019,8:51 PM
92,33,18,50.3100516,106.4966629,6/18/2019,7:05 AM
93,205,27,-7.572027,112.5125893,7/26/2019,4:33 AM
